Region,Measure,Mean,SEM
dmPAG,(Freezing) Vgat+ TRAPed,25.474999999999998,4.246487764415828
dmPAG,(Freezing) Vglut+ TRAPed,43.48,4.667319716211151
dlPAG,(Freezing) Vgat+ TRAPed,33.473333333333336,4.408933103496936
dlPAG,(Freezing) Vglut+ TRAPed,54.35166666666667,2.7738990809168085
lPAG,(Freezing) Vgat+ TRAPed,42.47,4.270482408346861
lPAG,(Freezing) Vglut+ TRAPed,52.14833333333333,2.0479671492591
vlPAG,(Freezing) Vgat+ TRAPed,48.78333333333333,3.83755014444256
vlPAG,(Freezing) Vglut+ TRAPed,54.27666666666667,2.204655175859582
