Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	806df7c8-bf10-4d29-b233-4f782ddc8dff	Annotation	VCO	VCO	CN	Geometry	5285.6	4743.5	101	0	607	0	0	0	NaN	0	514458.6	4787.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	eb5e2e87-4b1f-4638-a1e6-1baf35dcedc8	Annotation	NTB	NTB	MY-sen	Geometry	4257.8	5635.3	642	0	386	0	0	0	NaN	0	137067.9	2284.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	49c7e0ce-afbe-4518-9a67-27d1b31963f4	Annotation	MB	MB	BS	Geometry	5270.2	1921.3	313	0	343	589	369	220	37.35	18.02	12209549.3	31870.8
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	5c390810-e09b-46ee-a576-d821c585df8c	Annotation	MBmot	MBmot	MB	Geometry	5254.7	2325.9	323	0	313	586	366	220	37.54	39.18	5614897.4	28810.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	0d03747a-3f24-4cc1-957c-b4f28970f517	Annotation	PAG	PAG	MBmot	Geometry	5307.4	2232.7	795	0	323	582	364	218	37.46	70.07	3111125.2	13161
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	905d532f-46b4-4b66-8c13-b9ca10aadc73	Annotation	SCm	SCm	MBmot	Geometry	5234.6	1120.6	294	0	323	3	1	2	66.67	2.448	817079.6	8132.9
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	80363e12-b27e-488c-918e-edc44e4082d8	Annotation	SCig	SCig	SCm	Geometry	5211.4	726.64	10	0	294	0	0	0	NaN	0	57244.4	2506.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	e3db38dd-62a8-4001-8440-0b0681334b2a	Annotation	SCiw	SCiw	SCm	Geometry	5199.2	934.95	17	0	294	0	0	0	NaN	0	249748.9	3462.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	36cf0427-e460-4182-ab6d-5e54303288c6	Annotation	SCdg	SCdg	SCm	Geometry	5251.1	1167.6	26	0	294	0	0	0	NaN	0	274154.4	4768.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	0870d560-3b53-46bd-a512-f5d2eb214415	Annotation	SCdw	SCdw	SCm	Geometry	5259	1358.7	42	0	294	3	1	2	66.67	8.477	235932.7	3804.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	66424080-999e-4c96-9bdb-6c1159d6d7d1	Annotation	CUN	CUN	MBmot	Geometry	5250.1	2569.4	616	0	323	1	1	0	0	0	841799.7	5556.5
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	b76e9b02-6306-4a9c-84af-f48ca001e32f	Annotation	MRN	MRN	MBmot	Geometry	5089.1	3590.5	128	0	323	0	0	0	NaN	0	796415.7	7914.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	7c8259c0-87d7-4328-860e-aebfc21e11fb	Annotation	VTN	VTN	MBmot	Geometry	5017.1	3615.6	757	0	323	0	0	0	NaN	0	48477.1	1159
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	4ce11b55-693b-48ae-875d-a82c335eda5b	Annotation	MBsen	MBsen	MB	Geometry	5318.7	1329.2	339	0	313	0	0	0	NaN	0	4461381.9	14908.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	961f7a9e-89b8-4af4-a70b-7854a4794e2e	Annotation	IC	IC	MBsen	Geometry	5308.1	1398.5	4	0	339	0	0	0	NaN	0	4089709	11072.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	b0fb53ce-37bc-46ff-bf29-4ba0a681a69b	Annotation	ICc	ICc	IC	Geometry	5402.2	1743.3	811	0	4	0	0	0	NaN	0	1209108.6	7028
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	23c62e96-289d-4a46-96cc-1dd55efc2980	Annotation	ICd	ICd	IC	Geometry	5315.8	1111.5	820	0	4	0	0	0	NaN	0	1431134.8	7697.1
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	1c9e4376-332b-4487-aadd-664b9e383fb1	Annotation	ICe	ICe	IC	Geometry	5222	1394.3	828	0	4	0	0	0	NaN	0	1449465.6	9310.9
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	ad26bbcc-467b-4487-8724-6b2cb47e96af	Annotation	SCs	SCs	MBsen	Geometry	5435.7	565.77	302	0	339	0	0	0	NaN	0	371672.9	3836.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	bc03bd8d-3a2e-4bed-b419-8e7fd847b8fa	Annotation	SCzo	SCzo	SCs	Geometry	5470.9	508.81	834	0	302	0	0	0	NaN	0	188417.1	3729.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	18c0cec6-617b-4f89-9b1a-9b4f37d24e62	Annotation	SCsg	SCsg	SCs	Geometry	5371.9	579.48	842	0	302	0	0	0	NaN	0	95219.3	2190.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	0b0f3c74-0986-4f2c-b45a-b9a01d675f3b	Annotation	SCop	SCop	SCs	Geometry	5429.4	672.87	851	0	302	0	0	0	NaN	0	88036.6	3261.6
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	d63aa883-ed74-45b0-92eb-a6c777e5040c	Annotation	MBsta	MBsta	MB	Geometry	4745.3	3375.1	348	0	313	0	0	0	NaN	0	216765.6	3184.5
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	eba6e57a-6ad9-4284-b5ac-98810ba58cc4	Annotation	PPN	PPN	MBsta	Geometry	3848.7	3387.5	1052	0	348	0	0	0	NaN	0	63369.2	1232.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	f8202ca3-a2d7-4288-ad15-fbab1cc49d18	Annotation	RAmb	RAmb	MBsta	Geometry	5115.8	3370.4	165	0	348	0	0	0	NaN	0	153396.2	1951.9
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	3edf1bb9-625f-405a-8d98-8be7651bc608	Annotation	DR	DR	RAmb	Geometry	5115.8	3370.4	872	0	165	0	0	0	NaN	0	153396.2	1951.9
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	1b0291e8-b0d6-443f-bb25-2864ccd53576	Annotation	VS	VS	root	Geometry	5358.3	2293.3	73	0	997	0	0	0	NaN	0	798449.7	3313
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	4a4b15a6-d164-44c7-856b-c18d498157a8	Annotation	AQ	AQ	VS	Geometry	5358.3	2293.3	140	0	73	0	0	0	NaN	0	798449.7	3313
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	02ffdb7b-355c-4908-b8e3-135dbaa8ff0b	Annotation	fiber tracts	fiber tracts	root	Geometry	4689.5	4151.3	1009	0	997	0	0	0	NaN	0	3133015.6	51994
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	f4728b7f-0367-4dcc-b6d0-34484074bf9a	Annotation	cbf	cbf	fiber tracts	Geometry	5053.4	3714	960	0	1009	0	0	0	NaN	0	838106.5	16140.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	c57b14d6-7cc9-4cdd-9859-aa41510ba399	Annotation	arb	arb	cbf	Geometry	7341	3823.8	728	0	960	0	0	0	NaN	0	53027	3978.1
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	ffd5c294-b4f5-4ec0-9efa-71084f7dae85	Annotation	cbp	cbp	cbf	Geometry	4898.9	3706.6	752	0	960	0	0	0	NaN	0	785079.5	14005.5
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	6e1336ee-7641-4ce3-a106-9fbdeea85ce3	Annotation	scp	scp	cbp	Geometry	4959.9	3679.7	326	0	752	0	0	0	NaN	0	430781	10485.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	73133548-dc4c-4231-a64c-d8994951b8ac	Annotation	sctv	sctv	scp	Geometry	4504.1	4692	866	0	326	0	0	0	NaN	0	118178.3	4112.6
