Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	ae7ebcc2-7b6a-4eec-9af9-6b50b857dc93	729	729	541	Geometry	8945.3	3064.1	729	0	541	0	0	0	NaN	0	225869.8	3669.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	f94729a5-553d-4dfd-b785-93d00167d7d1	234	234	541	Geometry	7611.3	2883.4	234	0	541	0	0	0	NaN	0	179458.2	4787.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	255781e8-021b-497f-9ec3-0b53a80036c1	786	786	541	Geometry	9124.7	3064	786	0	541	0	0	0	NaN	0	49107.2	2867.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	fdf783cc-dc24-48a4-81a6-4e6cddbc4835	289	289	541	Geometry	8217.3	3028.7	289	0	541	0	0	0	NaN	0	506280.7	5314.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	175d2ba6-6ae6-4af3-8fbf-430725af4593	669	669	315	Geometry	4629.1	1509.6	669	0	315	0	0	0	NaN	0	5971708.3	17964.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	a67347ba-e8c7-48fb-b09b-af6f0a361bc1	533	533	669	Geometry	6080.5	483.56	533	0	669	0	0	0	NaN	0	50531.9	1607.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	c52b3a14-bb34-449a-a645-1444bf5fda19	41	41	533	Geometry	6117.5	495.57	41	0	533	0	0	0	NaN	0	25151.1	953.76
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	2cd55267-6011-4732-9452-4325a507a310	565	565	533	Geometry	6615	722.64	565	0	533	0	0	0	NaN	0	3947.5	328.32
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	3b2d6420-84bf-4a7b-b774-f3bc0634457d	805	805	533	Geometry	5758.4	364.29	805	0	533	0	0	0	NaN	0	16825.5	748.66
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	0e51e62c-ff1e-42ef-966e-447a96bff211	501	501	533	Geometry	6597.2	649.19	501	0	533	0	0	0	NaN	0	4607.8	292.36
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	9bd93f16-4394-46ed-b5e9-11ed24b37cb2	312782574	312782574	669	Geometry	4935.3	2140.4	312782574	0	669	0	0	0	NaN	0	513625.1	4899.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	cfb50a81-ff1f-411a-9f12-36b697903776	312782582	312782582	312782574	Geometry	4905	2001.1	312782582	0	312782574	0	0	0	NaN	0	118951.3	2041.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	5cb00a6a-b7c3-4e2c-850e-0846feab9d39	312782578	312782578	312782574	Geometry	5076	1904.1	312782578	0	312782574	0	0	0	NaN	0	71522.5	1846.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	57bc74ca-ff22-4aa7-b6b8-5e5354b41281	312782590	312782590	312782574	Geometry	4647	2226.3	312782590	0	312782574	0	0	0	NaN	0	167288.3	2363.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	430af6cc-9539-4d51-9e1b-1a878fd3bd48	312782586	312782586	312782574	Geometry	4947.6	2093.8	312782586	0	312782574	0	0	0	NaN	0	60261.6	1756.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	e53e95b8-d707-48da-8cf4-ded9755df730	312782598	312782598	312782574	Geometry	6691.6	2422.9	312782598	0	312782574	0	0	0	NaN	0	12401	891.69
