Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	b3d261bf-38ee-4a62-9b5c-01249a49cf6e	Annotation	root	root	Root object (Image)	Geometry	4883.6	2697.5	997	0	NaN	1003	762	241	24.03	5.237	46015994	46907.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	101b21e1-f823-4658-8d91-2931f08be0ed	Annotation	grey	grey	root	Geometry	4875	2584.7	8	0	997	999	759	240	24.02	5.779	41528255.1	93856.6
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	a6652e69-4bd6-48b8-a1ac-c48981e7f0f7	Annotation	CB	CB	grey	Geometry	6421.8	3768.8	512	0	8	0	0	0	NaN	0	410913.3	6961.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	f3b65d5f-bef3-44e4-b582-c0d880abecdc	Annotation	CBX	CBX	CB	Geometry	8404.8	3700.1	528	0	512	0	0	0	NaN	0	184878.4	1768.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	e909a152-fa73-4e3d-aaa4-dc0bff3802d4	Annotation	HEM	HEM	CBX	Geometry	8404.8	3700.1	1073	0	528	0	0	0	NaN	0	184878.4	1768.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	9612741c-64b3-47eb-80f0-dffc771d7540	Annotation	FL	FL	HEM	Geometry	8404.8	3700.1	1049	0	1073	0	0	0	NaN	0	184878.4	1768.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	7591613e-3a1f-480e-86f5-34ca380fe8bc	Annotation	CH	CH	grey	Geometry	4494.6	1690.9	567	0	8	0	0	0	NaN	0	15940535.1	25327.8
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	534c00cc-b400-45ea-b3e0-61c4c025e6c4	Annotation	CTX	CTX	CH	Geometry	4494.6	1690.9	688	0	567	0	0	0	NaN	0	15940535.1	25327.8
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	d810b2a9-54cf-4c8a-be26-8e67cad2a30e	Annotation	CTXpl	CTXpl	CTX	Geometry	4494.6	1690.9	695	0	688	0	0	0	NaN	0	15940535.1	25327.8
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	46f041da-ca86-435c-ad84-5549e9cb1f2e	Annotation	Isocortex	Isocortex	CTXpl	Geometry	4610.5	635.89	315	0	695	0	0	0	NaN	0	6169802.3	18616
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	3ef70f7a-28ce-4855-a7b6-705ebf484ce6	Annotation	VIS	VIS	Isocortex	Geometry	4515.1	665.96	669	0	315	0	0	0	NaN	0	4791504.8	18853.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	1b110092-c85b-49ec-8e03-b0e6bfd0d426	Annotation	VISpor	VISpor	VIS	Geometry	3499.3	1315.9	312782628	0	669	0	0	0	NaN	0	920016	6305.9
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	4cbb684d-dca4-44cd-ab76-fd08d9290b42	Annotation	VISpor2/3	VISpor2/3	VISpor	Geometry	3660.8	1311.3	312782636	0	312782628	0	0	0	NaN	0	436944.6	4686.5
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	3784c46a-15d7-4ee2-937e-6bbc3d5fa924	Annotation	VISpor1	VISpor1	VISpor	Geometry	4155	1259.2	312782632	0	312782628	0	0	0	NaN	0	327430.7	5488.9
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	59892d62-7bab-444e-8a2b-7d85bcb2ed14	Annotation	VISpor5	VISpor5	VISpor	Geometry	1668.2	1448.3	312782644	0	312782628	0	0	0	NaN	0	155322.4	2653.5
